STARTDATE,AMOUNT_TO_CUT,ENDDATE,AMOUNT_OF_DAYS
7/8/2022,25,7/20/2022,12
9/19/2022,25,9/30/2022,11
5/24/2022,2580,12/10/2022,200
5/8/2022,12,5/16/2022,9
6/12/2022,22,6/24/2022,13
7/27/2022,8,8/1/2022,6
9/5/2022,3,9/7/2022,3
10/20/2022,17,10/25/2022,6
11/15/2022,9,11/18/2022,4
12/30/2022,5,1/3/2023,5
2/14/2023,11,2/18/2023,5
3/22/2023,6,3/26/2023,5
4/30/2023,14,5/5/2023,6
6/5/2022,7,6/9/2022,5
8/18/2022,19,8/25/2022,8
9/27/2022,11,10/6/2022,10
11/8/2022,3,11/10/2022,3
2/14/2023,12,2/18/2023,5
3/27/2023,8,3/31/2023,5
5/8/2023,25,5/18/2023,11
6/21/2023,17,6/29/2023,9
7/30/2023,6,8/2/2023,4
9/12/2023,9,9/17/2023,6
10/25/2023,4,10/27/2023,3
11/30/2023,21,12/7/2023,8
1/8/2024,15,1/16/2024,9
2/19/2024,10,2/24/2024,6
3/27/2024,8,4/1/2024,6
5/8/2024,12,5/13/2024,6
6/18/2024,7,6/22/2024,5
7/29/2024,3,7/31/2024,3
9/8/2024,20,9/15/2024,8
12/16/2022,9,12/20/2022,5
4/27/2022,15,5/05/2022,8
7/8/2022,60,7/20/2022,12
1/17/2022,15,1/28/2022,11
4/23/2022,5,4/29/2022,6
7/26/2022,1560,10/26/2022,92
7/11/2022,88,8/31/2022,51
7/11/2022,70,8/31/2022,51
7/11/2022,70,8/31/2022,51
7/11/2022,78,8/31/2022,51
7/11/2022,60,8/31/2022,51
7/11/2022,36,7/31/2022,20
7/11/2022,70,8/31/2022,51
7/19/2022,75,8/31/2022,43
7/18/2022,1,7/21/2022,3
6/3/2022,32,7/12/2022,39
6/3/2022,246,8/12/2022,70
7/15/2022,24,10/19/2022,96
7/15/2022,6,7/19/2022,4
7/15/2022,166,09/21/2022,68
7/15/2022,2,7/19/2022,4
7/15/2022,10,7/21/2022,6
7/15/2022,7,7/19/2022,4
7/15/2022,36,10/21/2022,98
7/15/2022,49,8/19/2022,35
7/15/2022,10,7/19/2022,4
7/15/2022,8,7/21/2022,6
7/15/2022,605,10/21/2022,98
7/15/2022,8,7/19/2022,4
7/15/2022,319,10/21/2022,98
7/15/2022,30,7/21/2022,6
8/29/2022,58,10/3/2022,35
6/20/2022,220,8/10/2022,51
6/8/2022,200,7/29/2022,51
6/27/2022,57,7/15/2022,18
10/24/2022,1,10/27/2022,3
10/21/2022,1,10/31/2022,10
6/27/2022,22,7/11/2022,14
7/19/2022,70,9/28/2022,71
7/19/2022,4,7/21/2022,2
7/15/2022,48,7/29/2022,14
6/14/2022,168,7/29/2022,45
6/6/2022,825,7/29/2022,53
8/9/2022,183,8/26/2022,17
8/24/2022,225,10/3/2022,40
8/30/2022,345,10/3/2022,34
8/30/2022,175,10/3/2022,34
8/23/2022,400,10/3/2022,41
8/23/2022,600,10/3/2022,41
8/30/2022,175,10/3/2022,34
8/23/2022,400,10/3/2022,41
8/24/2022,208,10/3/2022,40
8/24/2022,590,12/22/2022,120
8/24/2022,80,10/3/2022,40
8/24/2022,590,12/22/2022,120
8/24/2022,8,8/27/2022,3
8/24/2022,80,10/3/2022,40
8/24/2022,600,12/22/2022,120
8/24/2022,210,9/28/2022,35
8/24/2022,45,9/3/2022,10
8/24/2022,200,9/28/2022,35
8/31/2022,340,10/28/2022,58
8/31/2022,65,9/21/2022,21
8/24/2022,210,10/3/2022,40
8/31/2022,30,10/3/2022,33
8/25/2022,5,8/26/2022,1
8/25/2022,75,9/14/2022,20
8/25/2022,14,8/29/2022,4
8/25/2022,360,10/14/2022,50
8/25/2022,20,9/14/2022,20
8/25/2022,7,8/28/2022,3
8/25/2022,25,9/14/2022,20
8/24/2022,750,12/22/2022,120
8/25/2022,205,9/25/2022,31
10/31/2022,30,11/11/2022,11
10/31/2022,15,11/11/2022,11
10/31/2022,30,11/15/2022,15
10/31/2022,7,11/11/2022,11
10/31/2022,24,11/15/2022,15
10/31/2022,24,11/15/2022,15
7/29/2022,21,8/15/2022,17
7/29/2022,2,7/30/2022,1
7/29/2022,1,7/30/2022,1
7/29/2022,1,7/30/2022,1
7/29/2022,167,8/30/2022,32
7/29/2022,10,7/30/2022,1
8/25/2022,6,8/26/2022,1
8/25/2022,22,9/10/2022,16
6/22/2022,520,9/30/2022,100
9/12/2022,700,9/30/2022,100
6/22/2022,450,9/30/2022,100
6/22/2022,520,9/30/2022,100
6/22/2022,520,9/30/2022,100
8/30/2022,175,9/30/2022,100
8/12/2022,12,8/17/2022,5
8/15/2022,77,9/30/2022,15
6/30/2022,500,9/30/2022,100
10/12/2022,25,10/25/2022,13
10/12/2022,35,10/15/2022,4
10/17/2022,60,10/15/2022,4
9/28/2022,82,10/4/2022,7
9/28/2022,40,10/6/2022,10
9/29/2022,20,10/6/2022,10


